tweet_id,favorites,retweets
892420643555336193,36067,7678
892177421306343426,31109,5678
891815181378084864,23422,3763
891689557279858688,39343,7851
891327558926688256,37585,8449
891087950875897856,18937,2835
890971913173991426,11011,1844
890729181411237888,60749,17133
890609185150312448,26050,3901
890240255349198849,29779,6660
890006608113172480,28666,6651
889880896479866881,26075,4531
889665388333682689,44895,9085
889638837579907072,25268,4069
889531135344209921,14150,2048
889278841981685760,23548,4847
888917238123831296,27177,4083
888804989199671297,23887,3851
888554962724278272,18432,3164
888078434458587136,20349,3149
887705289381826560,28267,4897
887517139158093824,43337,10703
887473957103951883,64232,16345
887343217045368832,31454,9520
887101392804085760,28618,5419
886983233522544640,32614,6963
886736880519319552,11197,2923
886680336477933568,21000,4068
886366144734445568,19750,2879
886267009285017600,111,4
886258384151887873,26149,5739
886054160059072513,0,100
885984800019947520,30445,6103
885528943205470208,33590,5813
885518971528720385,19136,3395
885311592912609280,0,16837
885167619883638784,20454,3971
884925521741709313,72004,16438
884876753390489601,26003,5069
884562892145688576,22709,4274
884441805382717440,25321,5180
884247878851493888,67825,18469
884162670584377345,19069,2722
883838122936631299,20425,3122
883482846933004288,42810,8984
883360690899218434,21191,3362
883117836046086144,34670,6040
882992080364220416,22320,3540
882762694511734784,26419,4439
882627270321602560,26162,5526
882268110199369728,41879,10534
882045870035918850,27393,4447
881906580714921986,22757,3089
881666595344535552,47350,9711
881633300179243008,117,7
881536004380872706,46222,14524
881268444196462592,21710,4799
880935762899988482,15980,2537
880872448815771648,19897,3486
880465832366813184,26621,5655
880221127280381952,25210,3794
880095782870896641,25814,3947
879862464715927552,20922,3182
879674319642796034,295,10
879492040517615616,21953,2904
879415818425184262,98914,40477
879376492567855104,15718,2849
879130579576475649,0,6192
879050749262655488,21063,4278
879008229531029506,17791,2436
878776093423087618,18136,3726
878604707211726852,28188,6468
878404777348136964,0,1176
878316110768087041,0,6072
878281511006478336,7238,1176
878057613040115712,39392,6192
877736472329191424,74229,17279
877611172832227328,0,73
877556246731214848,21245,3470
877316821321428993,25662,4751
877201837425926144,25381,5091
876838120628539392,19383,3039
876537666061221889,22169,4280
876484053909872640,17587,2162
876120275196170240,26224,4260
875747767867523072,23583,3904
875144289856114688,20537,4483
875097192612077568,25718,5547
875021211251597312,23910,4318
874680097055178752,26090,4231
874434818259525634,0,13300
874296783580663808,24428,3761
874057562936811520,21312,3643
874012996292530176,32189,9378
873580283840344065,22741,3604
873337748698140672,0,1459
873213775632977920,6723,1459
872967104147763200,25614,4974
872820683541237760,13854,3416
872620804844003328,19490,3347
872486979161796608,38343,8306
872122724285648897,32262,7440
871879754684805121,35392,10104
871762521631449091,19034,3212
871515927908634625,19005,3205
871166179821445120,0,5267
871102520638267392,19704,5092
871032628920680449,21421,3528
870804317367881728,31725,5706
870726314365509632,114,3
870656317836468226,11644,2437
870374049280663552,78335,24474
870308999962521604,20682,3835
870063196459192321,34479,7684
869772420881756160,40206,9359
869702957897576449,26667,5838
869596645499047938,15081,2892
869227993411051520,19308,3496
868880397819494401,61876,13387
868639477480148993,0,1930
868622495443632128,25238,4913
868552278524837888,9541,1930
867900495410671616,22932,3883
867774946302451713,32173,6839
867421006826221569,15233,2315
867072653475098625,0,112
867051520902168576,30559,7337
866720684873056260,19000,4473
866686824827068416,18296,3253
866450705531457537,116051,32825
866334964761202691,49758,13300
866094527597207552,0,7824
865718153858494464,24384,5249
865359393868664832,25153,4680
865006731092295680,26646,7199
864873206498414592,30682,8130
864279568663928832,13864,2829
864197398364647424,28543,8295
863907417377173506,19620,3881
863553081350529029,14548,3926
863471782782697472,0,2281
863432100342583297,22657,4929
863427515083354112,2100,89
863079547188785154,8369,1040
863062471531167744,8058,2281
862831371563274240,18303,4841
862722525377298433,16324,3321
862457590147678208,19513,4637
862096992088072192,70819,21766
861383897657036800,34451,10080
861288531465048066,16402,3901
861005113778896900,15945,3595
860981674716409858,0,2022
860924035999428608,0,753
860563773140209665,7159,2022
860524505164394496,22628,5011
860276583193509888,17580,3315
860184849394610176,15964,5522
860177593139703809,0,29247
859924526012018688,18763,3878
859851578198683649,14785,3321
859607811541651456,17850,1484
859196978902773760,86188,28563
859074603037188101,32443,12928
858860390427611136,0,7692
858843525470990336,14980,3308
858471635011153920,20680,4618
858107933456039936,15152,2759
857989990357356544,15482,2474
857746408056729600,32971,10120
857393404942143489,5666,1568
857263160327368704,19320,4308
857214891891077121,215,17
857062103051644929,0,162
857029823797047296,18171,3798
856543823941562368,15760,2760
856526610513747968,11459,1796
856330835276025856,0,640
856288084350160898,497,15
856282028240666624,26815,6026
855862651834028034,326,25
855860136149123072,4751,936
855857698524602368,11497,2023
855851453814013952,44287,17296
855818117272018944,25820,5211
855459453768019968,28890,7898
855245323840757760,0,5729
855138241867124737,0,43
854732716440526848,22092,5843
854482394044301312,28449,6618
854365224396361728,18359,4524
854120357044912130,31115,7197
854010172552949760,15787,3047
853760880890318849,27809,5551
853639147608842240,33756,9713
853299958564483072,15102,3448
852936405516943360,0,1934
852912242202992640,8804,1756
852672615818899456,14542,2096
852553447878664193,15905,3372
852311364735569921,32384,9658
852226086759018497,19535,6655
852189679701164033,11195,1548
851861385021730816,0,19
851591660324737024,15921,3385
851464819735769094,23746,6873
851224888060895234,20260,5595
850753642995093505,30196,8897
850380195714523136,12849,2548
850333567704068097,3392,320
850145622816686080,16025,3702
850019790995546112,20027,4761
849776966551130114,29875,7420
849668094696017920,0,4849
849412302885593088,15585,3087
849336543269576704,11228,1861
849051919805034497,41637,8293
848690551926992896,24776,4235
848324959059550208,24289,4530
848213670039564288,8050,714
848212111729840128,16055,2976
847978865427394560,0,3198
847971574464610304,0,424
847962785489326080,23158,4981
847842811428974592,5347,1303
847617282490613760,6884,406
847606175596138505,18515,3371
847251039262605312,20231,4245
847157206088847362,19620,5756
847116187444137987,21188,3126
846874817362120707,19825,3866
846514051647705089,44031,11360
846505985330044928,13931,3026
846153765933735936,31201,8896
846139713627017216,30676,9865
846042936437604353,15793,2821
845812042753855489,28888,8563
